label,message
ham,Reminder: report scheduled for tomorrow.
spam,You won't believe this offer on voucher. Click here!
spam,Your gift card reward is waiting. Confirm now!
ham,Don't forget to bring plan to the meeting.
ham,Reminder: update scheduled for tomorrow.
ham,Looking forward to our plan next week.
spam,Limited time: Save big on coupon.
spam,Free access to reward for a limited time.
ham,Let's catch up over lunch this weekend.
spam,"Special discount on deal, today only!"
ham,Can you help me with the presentation later?
ham,Let's catch up over plan this weekend.
ham,Hope you enjoyed the schedule today!
spam,Limited time: Save big on prize.
spam,Free access to cashback for a limited time.
ham,I just finished working on the lunch.
ham,Looking forward to our presentation next week.
ham,I just finished working on the event.
ham,Hope you enjoyed the deadline today!
spam,Limited time: Save big on coupon.
spam,"Special discount on coupon, today only!"
ham,I just finished working on the schedule.
spam,Exclusive deal! Get voucher now before it's too late.
spam,Congratulations! You've been selected for Bitcoin.
spam,Act now to claim your bonus prize.
ham,Please review the update when you have time.
spam,Congratulations! You've been selected for lottery.
spam,Congratulations! You've been selected for cashback.
ham,Let’s finalize the update before the deadline.
spam,Free access to coupon for a limited time.
ham,Reminder: report scheduled for tomorrow.
spam,Congratulations! You've been selected for credit card.
spam,"Special discount on Bitcoin, today only!"
ham,Looking forward to our review next week.
ham,I just finished working on the review.
spam,Act now to claim your reward prize.
ham,Hope you enjoyed the conference today!
ham,Don't forget to bring plan to the meeting.
spam,Act now to claim your prize prize.
ham,Hope you enjoyed the project today!
ham,Hope you enjoyed the presentation today!
spam,Your gift card reward is waiting. Confirm now!
ham,Let's catch up over trip this weekend.
ham,Have you seen the update about update?
ham,Let's catch up over task this weekend.
ham,I just finished working on the plan.
spam,Act now to claim your insurance prize.
ham,Have you seen the update about task?
ham,Have you seen the update about presentation?
ham,Let's catch up over trip this weekend.
ham,Looking forward to our update next week.
ham,Let’s finalize the lunch before the deadline.
ham,Looking forward to our discussion next week.
ham,Let's catch up over trip this weekend.
ham,Have you seen the update about discussion?
ham,Reminder: project scheduled for tomorrow.
spam,Urgent notice: Bitcoin alert for your account.
spam,Act now to claim your reward prize.
ham,Can you help me with the schedule later?
ham,Let's catch up over schedule this weekend.
ham,Let's catch up over trip this weekend.
ham,I just finished working on the project.
ham,Hope you enjoyed the presentation today!
spam,Exclusive deal! Get credit card now before it's too late.
ham,Hope you enjoyed the conference today!
ham,Let’s finalize the discussion before the deadline.
ham,Please review the presentation when you have time.
ham,Reminder: plan scheduled for tomorrow.
ham,Let's catch up over event this weekend.
spam,Limited time: Save big on insurance.
spam,Urgent notice: cashback alert for your account.
spam,Free access to bonus for a limited time.
spam,Act now to claim your iPhone prize.
ham,Let's catch up over presentation this weekend.
ham,Looking forward to our review next week.
spam,Free access to insurance for a limited time.
spam,Exclusive deal! Get Bitcoin now before it's too late.
ham,Looking forward to our task next week.
ham,Looking forward to our project next week.
spam,Act now to claim your credit card prize.
ham,I just finished working on the presentation.
ham,Please review the deadline when you have time.
spam,Limited time: Save big on reward.
spam,Urgent notice: deal alert for your account.
spam,"Special discount on prize, today only!"
ham,Can you help me with the report later?
spam,You won't believe this offer on lottery. Click here!
spam,Your voucher reward is waiting. Confirm now!
ham,Don't forget to bring review to the meeting.
spam,Your coupon reward is waiting. Confirm now!
spam,"Special discount on iPhone, today only!"
ham,Reminder: review scheduled for tomorrow.
ham,I just finished working on the presentation.
spam,"Special discount on investment, today only!"
ham,Can you help me with the lunch later?
spam,Free access to vacation for a limited time.
spam,Your cashback reward is waiting. Confirm now!
spam,You won't believe this offer on lottery. Click here!
ham,Reminder: project scheduled for tomorrow.
ham,Please review the discussion when you have time.
spam,You won't believe this offer on vacation. Click here!
spam,Act now to claim your deal prize.
ham,Please review the project when you have time.
spam,Congratulations! You've been selected for deal.
spam,Exclusive deal! Get insurance now before it's too late.
ham,Don't forget to bring update to the meeting.
spam,Urgent notice: deal alert for your account.
spam,Limited time: Save big on lottery.
spam,Limited time: Save big on deal.
spam,Congratulations! You've been selected for cashback.
ham,Don't forget to bring deadline to the meeting.
ham,Can you help me with the report later?
spam,You won't believe this offer on bonus. Click here!
ham,Let's catch up over deadline this weekend.
spam,Act now to claim your bonus prize.
ham,Reminder: deadline scheduled for tomorrow.
spam,"Special discount on voucher, today only!"
spam,Act now to claim your Bitcoin prize.
ham,Hope you enjoyed the task today!
ham,Reminder: event scheduled for tomorrow.
ham,Let’s finalize the conference before the deadline.
ham,I just finished working on the task.
spam,"Special discount on deal, today only!"
ham,Let’s finalize the event before the deadline.
ham,Have you seen the update about schedule?
ham,Don't forget to bring presentation to the meeting.
ham,Looking forward to our review next week.
spam,Limited time: Save big on gift card.
spam,Exclusive deal! Get gift card now before it's too late.
ham,I just finished working on the meeting.
ham,Please review the plan when you have time.
ham,I just finished working on the schedule.
spam,Exclusive deal! Get deal now before it's too late.
ham,Reminder: deadline scheduled for tomorrow.
spam,Exclusive deal! Get bonus now before it's too late.
ham,Hope you enjoyed the meeting today!
ham,Looking forward to our schedule next week.
ham,I just finished working on the review.
spam,Exclusive deal! Get insurance now before it's too late.
spam,"Special discount on prize, today only!"
ham,I just finished working on the event.
spam,You won't believe this offer on reward. Click here!
spam,"Special discount on voucher, today only!"
spam,Get approved instantly for Bitcoin loan.
spam,Act now to claim your gift card prize.
spam,Limited time: Save big on bonus.
spam,Get approved instantly for coupon loan.
ham,Have you seen the update about lunch?
spam,Urgent notice: cashback alert for your account.
spam,Limited time: Save big on cashback.
ham,I just finished working on the update.
ham,Reminder: project scheduled for tomorrow.
spam,You won't believe this offer on deal. Click here!
ham,Hope you enjoyed the meeting today!
ham,Can you help me with the report later?
ham,Please review the update when you have time.
spam,Act now to claim your reward prize.
ham,Please review the deadline when you have time.
ham,Have you seen the update about review?
ham,Please review the task when you have time.
ham,Don't forget to bring review to the meeting.
ham,Looking forward to our trip next week.
spam,Congratulations! You've been selected for credit card.
ham,Don't forget to bring event to the meeting.
ham,I just finished working on the presentation.
ham,Have you seen the update about lunch?
ham,Hope you enjoyed the conference today!
spam,Congratulations! You've been selected for vacation.
spam,Your bonus reward is waiting. Confirm now!
spam,Limited time: Save big on iPhone.
spam,Urgent notice: cashback alert for your account.
spam,Free access to iPhone for a limited time.
spam,"Special discount on credit card, today only!"
spam,Act now to claim your investment prize.
ham,Have you seen the update about review?
ham,Let's catch up over task this weekend.
ham,Don't forget to bring presentation to the meeting.
spam,Congratulations! You've been selected for investment.
spam,"Special discount on deal, today only!"
spam,Congratulations! You've been selected for bonus.
spam,Exclusive deal! Get voucher now before it's too late.
spam,"Special discount on voucher, today only!"
spam,Free access to reward for a limited time.
spam,Free access to bonus for a limited time.
spam,Urgent notice: bonus alert for your account.
ham,Let’s finalize the meeting before the deadline.
spam,Urgent notice: insurance alert for your account.
spam,"Special discount on cashback, today only!"
spam,Get approved instantly for credit card loan.
ham,Don't forget to bring lunch to the meeting.
spam,You won't believe this offer on reward. Click here!
ham,I just finished working on the presentation.
spam,"Special discount on reward, today only!"
spam,You won't believe this offer on iPhone. Click here!
ham,Can you help me with the trip later?
spam,Get approved instantly for voucher loan.
ham,Reminder: deadline scheduled for tomorrow.
spam,Limited time: Save big on vacation.
spam,Limited time: Save big on gift card.
spam,Free access to credit card for a limited time.
ham,I just finished working on the presentation.
spam,Limited time: Save big on vacation.
spam,"Special discount on iPhone, today only!"
spam,Congratulations! You've been selected for lottery.
spam,Free access to iPhone for a limited time.
ham,Hope you enjoyed the schedule today!
spam,"Special discount on lottery, today only!"
spam,Your voucher reward is waiting. Confirm now!
spam,Free access to vacation for a limited time.
spam,"Special discount on voucher, today only!"
spam,Exclusive deal! Get investment now before it's too late.
ham,I just finished working on the update.
ham,Looking forward to our report next week.
ham,Can you help me with the schedule later?
ham,Can you help me with the review later?
ham,Let's catch up over event this weekend.
spam,You won't believe this offer on voucher. Click here!
spam,Get approved instantly for bonus loan.
ham,Let's catch up over trip this weekend.
spam,Exclusive deal! Get Bitcoin now before it's too late.
ham,Have you seen the update about plan?
ham,Let's catch up over lunch this weekend.
ham,I just finished working on the project.
spam,Limited time: Save big on lottery.
ham,Looking forward to our discussion next week.
spam,Get approved instantly for insurance loan.
spam,Your deal reward is waiting. Confirm now!
spam,Get approved instantly for gift card loan.
spam,Free access to gift card for a limited time.
spam,You won't believe this offer on lottery. Click here!
ham,Let's catch up over meeting this weekend.
ham,Reminder: update scheduled for tomorrow.
spam,Act now to claim your prize prize.
spam,Congratulations! You've been selected for Bitcoin.
spam,You won't believe this offer on deal. Click here!
spam,Get approved instantly for Bitcoin loan.
spam,Limited time: Save big on investment.
spam,Free access to insurance for a limited time.
spam,Limited time: Save big on bonus.
ham,Looking forward to our task next week.
ham,Let’s finalize the update before the deadline.
ham,Let’s finalize the trip before the deadline.
spam,Limited time: Save big on iPhone.
spam,Exclusive deal! Get voucher now before it's too late.
ham,Can you help me with the project later?
spam,Act now to claim your prize prize.
spam,Exclusive deal! Get insurance now before it's too late.
ham,Don't forget to bring presentation to the meeting.
spam,Free access to cashback for a limited time.
spam,"Special discount on vacation, today only!"
ham,Don't forget to bring discussion to the meeting.
spam,Congratulations! You've been selected for credit card.
ham,Reminder: trip scheduled for tomorrow.
ham,Reminder: project scheduled for tomorrow.
ham,Hope you enjoyed the deadline today!
ham,Let’s finalize the project before the deadline.
spam,You won't believe this offer on deal. Click here!
ham,I just finished working on the deadline.
ham,Looking forward to our meeting next week.
ham,Please review the conference when you have time.
spam,Urgent notice: coupon alert for your account.
ham,Let's catch up over discussion this weekend.
ham,Please review the lunch when you have time.
ham,Let’s finalize the conference before the deadline.
ham,Don't forget to bring lunch to the meeting.
spam,Free access to cashback for a limited time.
spam,Congratulations! You've been selected for vacation.
ham,Looking forward to our discussion next week.
ham,Let's catch up over meeting this weekend.
ham,Don't forget to bring presentation to the meeting.
ham,Can you help me with the event later?
ham,Please review the plan when you have time.
ham,Looking forward to our update next week.
spam,Urgent notice: prize alert for your account.
spam,Your lottery reward is waiting. Confirm now!
ham,Have you seen the update about plan?
ham,Let’s finalize the deadline before the deadline.
ham,Please review the deadline when you have time.
spam,"Special discount on Bitcoin, today only!"
ham,Don't forget to bring deadline to the meeting.
spam,Free access to credit card for a limited time.
ham,Please review the presentation when you have time.
spam,Act now to claim your cashback prize.
ham,Let's catch up over report this weekend.
ham,Please review the discussion when you have time.
ham,Don't forget to bring conference to the meeting.
ham,Please review the presentation when you have time.
ham,Let's catch up over deadline this weekend.
spam,Get approved instantly for reward loan.
spam,Limited time: Save big on vacation.
spam,Act now to claim your investment prize.
spam,Get approved instantly for cashback loan.
ham,Please review the update when you have time.
ham,Reminder: discussion scheduled for tomorrow.
ham,Looking forward to our schedule next week.
ham,Can you help me with the review later?
ham,Have you seen the update about update?
ham,Please review the conference when you have time.
spam,Urgent notice: prize alert for your account.
ham,Let’s finalize the conference before the deadline.
ham,Looking forward to our conference next week.
ham,Let's catch up over presentation this weekend.
ham,Looking forward to our review next week.
spam,Act now to claim your reward prize.
spam,Exclusive deal! Get insurance now before it's too late.
spam,Exclusive deal! Get reward now before it's too late.
ham,Hope you enjoyed the project today!
ham,Looking forward to our deadline next week.
ham,Let's catch up over meeting this weekend.
ham,Looking forward to our event next week.
ham,Let's catch up over schedule this weekend.
spam,Exclusive deal! Get deal now before it's too late.
ham,Don't forget to bring event to the meeting.
spam,Congratulations! You've been selected for prize.
ham,Let's catch up over trip this weekend.
spam,Your credit card reward is waiting. Confirm now!
ham,Reminder: plan scheduled for tomorrow.
ham,Hope you enjoyed the project today!
spam,Congratulations! You've been selected for insurance.
ham,Hope you enjoyed the task today!
ham,I just finished working on the presentation.
spam,Congratulations! You've been selected for vacation.
spam,Act now to claim your vacation prize.
spam,Your Bitcoin reward is waiting. Confirm now!
ham,Can you help me with the review later?
spam,Your cashback reward is waiting. Confirm now!
spam,Congratulations! You've been selected for bonus.
spam,Congratulations! You've been selected for credit card.
ham,Have you seen the update about event?
ham,Please review the presentation when you have time.
spam,Free access to investment for a limited time.
spam,Free access to bonus for a limited time.
ham,Can you help me with the report later?
ham,Have you seen the update about schedule?
spam,Your lottery reward is waiting. Confirm now!
spam,Exclusive deal! Get voucher now before it's too late.
spam,Get approved instantly for deal loan.
ham,Don't forget to bring lunch to the meeting.
spam,Exclusive deal! Get vacation now before it's too late.
ham,Reminder: conference scheduled for tomorrow.
spam,Urgent notice: deal alert for your account.
ham,Can you help me with the deadline later?
spam,"Special discount on deal, today only!"
ham,Hope you enjoyed the project today!
ham,Please review the plan when you have time.
ham,Let’s finalize the task before the deadline.
spam,Urgent notice: gift card alert for your account.
spam,Get approved instantly for iPhone loan.
ham,Let's catch up over update this weekend.
spam,Free access to deal for a limited time.
spam,Get approved instantly for iPhone loan.
ham,I just finished working on the plan.
ham,Let's catch up over schedule this weekend.
spam,Get approved instantly for prize loan.
spam,Your gift card reward is waiting. Confirm now!
ham,I just finished working on the meeting.
spam,You won't believe this offer on reward. Click here!
ham,Hope you enjoyed the presentation today!
spam,Exclusive deal! Get deal now before it's too late.
ham,Looking forward to our schedule next week.
ham,Looking forward to our event next week.
ham,Don't forget to bring schedule to the meeting.
ham,Let’s finalize the report before the deadline.
spam,Congratulations! You've been selected for deal.
spam,Your insurance reward is waiting. Confirm now!
spam,You won't believe this offer on credit card. Click here!
spam,Urgent notice: voucher alert for your account.
spam,"Special discount on insurance, today only!"
spam,You won't believe this offer on vacation. Click here!
spam,Get approved instantly for bonus loan.
spam,Your voucher reward is waiting. Confirm now!
spam,Exclusive deal! Get Bitcoin now before it's too late.
ham,Looking forward to our presentation next week.
ham,Have you seen the update about trip?
spam,Act now to claim your reward prize.
spam,Urgent notice: iPhone alert for your account.
spam,Limited time: Save big on voucher.
spam,Free access to iPhone for a limited time.
ham,Have you seen the update about update?
spam,"Special discount on bonus, today only!"
spam,Congratulations! You've been selected for lottery.
ham,Have you seen the update about presentation?
ham,Have you seen the update about event?
spam,Urgent notice: voucher alert for your account.
ham,Can you help me with the trip later?
ham,Can you help me with the trip later?
spam,Urgent notice: reward alert for your account.
ham,Can you help me with the schedule later?
spam,Your bonus reward is waiting. Confirm now!
ham,Hope you enjoyed the schedule today!
spam,Limited time: Save big on coupon.
ham,Please review the review when you have time.
spam,"Special discount on cashback, today only!"
ham,Let’s finalize the task before the deadline.
spam,Get approved instantly for investment loan.
spam,Limited time: Save big on investment.
ham,Hope you enjoyed the task today!
spam,Exclusive deal! Get insurance now before it's too late.
spam,Exclusive deal! Get iPhone now before it's too late.
spam,Urgent notice: insurance alert for your account.
ham,I just finished working on the project.
spam,Urgent notice: investment alert for your account.
spam,Exclusive deal! Get deal now before it's too late.
spam,Act now to claim your gift card prize.
spam,Exclusive deal! Get gift card now before it's too late.
spam,Limited time: Save big on insurance.
spam,Congratulations! You've been selected for investment.
ham,Can you help me with the project later?
spam,Your cashback reward is waiting. Confirm now!
ham,I just finished working on the task.
spam,Limited time: Save big on gift card.
ham,I just finished working on the conference.
spam,Urgent notice: voucher alert for your account.
spam,Your lottery reward is waiting. Confirm now!
ham,I just finished working on the presentation.
ham,Let’s finalize the plan before the deadline.
ham,I just finished working on the deadline.
ham,Don't forget to bring trip to the meeting.
spam,Urgent notice: insurance alert for your account.
spam,You won't believe this offer on cashback. Click here!
spam,Your Bitcoin reward is waiting. Confirm now!
spam,Your gift card reward is waiting. Confirm now!
spam,Congratulations! You've been selected for credit card.
ham,Reminder: project scheduled for tomorrow.
spam,Free access to credit card for a limited time.
ham,Looking forward to our trip next week.
ham,Hope you enjoyed the event today!
ham,Can you help me with the project later?
ham,Can you help me with the project later?
spam,Exclusive deal! Get coupon now before it's too late.
ham,I just finished working on the plan.
spam,Limited time: Save big on iPhone.
spam,You won't believe this offer on iPhone. Click here!
spam,Act now to claim your coupon prize.
spam,Your deal reward is waiting. Confirm now!
spam,"Special discount on prize, today only!"
spam,Get approved instantly for Bitcoin loan.
spam,"Special discount on Bitcoin, today only!"
ham,Hope you enjoyed the project today!
ham,Can you help me with the presentation later?
spam,You won't believe this offer on vacation. Click here!
ham,Let’s finalize the deadline before the deadline.
spam,Congratulations! You've been selected for cashback.
ham,Please review the task when you have time.
ham,Reminder: review scheduled for tomorrow.
ham,Let's catch up over update this weekend.
ham,I just finished working on the project.
ham,Reminder: deadline scheduled for tomorrow.
ham,Please review the presentation when you have time.
ham,Have you seen the update about lunch?
spam,Free access to bonus for a limited time.
spam,Your investment reward is waiting. Confirm now!
ham,Have you seen the update about deadline?
ham,Let's catch up over report this weekend.
ham,Looking forward to our plan next week.
spam,Free access to Bitcoin for a limited time.
spam,Your reward reward is waiting. Confirm now!
spam,You won't believe this offer on voucher. Click here!
ham,Let’s finalize the schedule before the deadline.
spam,Free access to deal for a limited time.
spam,"Special discount on bonus, today only!"
ham,Let’s finalize the meeting before the deadline.
spam,Urgent notice: prize alert for your account.
ham,Reminder: discussion scheduled for tomorrow.
spam,Exclusive deal! Get vacation now before it's too late.
ham,Let’s finalize the task before the deadline.
spam,Free access to gift card for a limited time.
spam,Your insurance reward is waiting. Confirm now!
spam,You won't believe this offer on gift card. Click here!
spam,Exclusive deal! Get voucher now before it's too late.
ham,I just finished working on the meeting.
spam,Free access to vacation for a limited time.
ham,Can you help me with the lunch later?
spam,"Special discount on cashback, today only!"
ham,Don't forget to bring meeting to the meeting.
spam,Act now to claim your investment prize.
spam,Exclusive deal! Get insurance now before it's too late.
spam,Act now to claim your voucher prize.
spam,Act now to claim your prize prize.
spam,You won't believe this offer on cashback. Click here!
ham,Don't forget to bring discussion to the meeting.
ham,Reminder: report scheduled for tomorrow.
spam,Free access to lottery for a limited time.
ham,Please review the plan when you have time.
ham,Hope you enjoyed the deadline today!
ham,Hope you enjoyed the deadline today!
ham,Looking forward to our plan next week.
spam,Your reward reward is waiting. Confirm now!
spam,You won't believe this offer on bonus. Click here!
ham,Don't forget to bring meeting to the meeting.
spam,Congratulations! You've been selected for Bitcoin.
ham,Let’s finalize the meeting before the deadline.
ham,Don't forget to bring conference to the meeting.
spam,Free access to prize for a limited time.
ham,I just finished working on the conference.
ham,Please review the review when you have time.
spam,Get approved instantly for vacation loan.
ham,Let’s finalize the project before the deadline.
ham,Have you seen the update about discussion?
spam,Free access to iPhone for a limited time.
